Latitude,Longitude,Date,data_point,match_value
36.920,-8.619,19/09/1997 15:02,0.417153,0.237635
42.8441,-19.9591,20/09/1997 10:10,0.143311,0.153042
42.8446,-19.9598,20/09/1997 10:19,0.143311,0.153042
42.0343,-19.9993,20/09/1997 17:00,0.107496,0.0751103
41.7245,-20.0016,20/09/1997 19:00,0.0986215,0.0798977
41.3224,-20.0069,20/09/1997 21:00,0.100156,0.0599706
40.9291,-20.002,20/09/1997 23:00,0.0945241,0.0597592
36.8718,-19.8187,21/09/1997 23:01,0.0749741,0.0490323
29.847,-123.585,23/09/1997 18:03,0.0969325,0.0641123
31.7826,-17.8372,25/09/1997 18:00,0.0664306,0.0545557
32.43,-119.962,25/09/1997 18:09,0.144476,0.102225
32.43,-119.962,25/09/1997 19:45,0.144476,0.102225
31.1666,-18.606,25/09/1997 22:00,0.0671989,0.0529905
30.8372,-18.9853,26/09/1997 00:00,0.0650428,0.0323758
30.1564,-19.71,26/09/1997 04:00,0.072026,0.0592228
20.7928,-157.207,26/09/1997 13:07,0.109109,0.085947
33.422,-117.91,26/09/1997 19:27,0.2482,0.232251
27.1222,-20.9926,26/09/1997 21:00,0.103711,0.0846452
20.7928,-157.207,26/09/1997 23:07,0.109109,0.085947
25.4952,-20.9987,27/09/1997 05:00,0.120443,0.100721
25.0299,-20.9904,27/09/1997 07:00,0.0999082,0.0851444
23.234,-21.0042,27/09/1997 17:00,0.217521,0.195613
33.153,-120.01,27/09/1997 23:37,0.338889,0.342551
31.992,-122.407,29/09/1997 01:07,0.162933,0.133597
34.332,-120.815,02/10/1997 18:04,0.481642,0.466143
20.7368,-157.002,02/10/1997 18:39,0.104756,0.0622096
34.157,-121.157,02/10/1997 22:43,0.252671,0.302164
0.5418,-25.106,03/10/1997 03:00,0.206605,0.190741
-0.1632,-25.4073,03/10/1997 07:00,0.195165,0.173307
-0.5136,-25.5595,03/10/1997 09:00,0.205219,0.17372
33.493,-122.525,03/10/1997 17:40,0.169545,0.162558
33.152,-123.225,04/10/1997 01:20,0.161331,0.155625
-2.7867,-27.3682,04/10/1997 11:40,0.133257,0.0489176
5.99,-124.93,05/10/1997 05:05,0.0701429,0.0511752
-7.9446,-28.6641,05/10/1997 06:00,0.135764,0.0950654
5.993,-124.938,05/10/1997 17:05,0.0701429,0.0261644
-10.8006,-29.8718,06/10/1997 00:00,0.0759294,0.0571654
-11.1604,-30.0405,06/10/1997 02:00,0.0856446,0.0467733
31.654,-64.126,07/10/1997 15:51,0.0733836,0.0631247
31.653,-64.116,07/10/1997 21:46,0.0733836,0.0631247
-19.3274,-33.4837,08/10/1997 04:00,0.0862902,0.0675825
42.95,35.6,08/10/1997 08:55,0.75352,1.04735
-21.0817,-34.556,08/10/1997 16:52,0.0728834,0.0701124
-25.8142,-39.1074,10/10/1997 00:00,0.127507,0.157009
-26.0654,-39.3668,10/10/1997 02:00,0.104546,0.102002
-3.99,-124.82,10/10/1997 02:50,0.143751,0.12211
-26.3987,-39.7221,10/10/1997 04:00,0.149391,0.127798
-26.737,-40.0711,10/10/1997 06:00,0.167842,0.129771
-3.991,-124.822,10/10/1997 14:50,0.143751,0.12211
-30.614,-43.8666,11/10/1997 06:00,0.249062,0.205971
42.588,-67.5148,11/10/1997 15:31,0.8931,1.19587
59.69,-149.328,11/10/1997 20:20,1.12164,1.93458
-32.25,-49.33,20/10/1997 18:21,0.181081,0.161439
-32.25,-49.33,20/10/1997 18:57,0.181081,0.161439
27.659,-111.228,20/10/1997 19:30,0.483423,0.592155
17.6,-67,21/10/1997 12:50,0.120165,0.0949401
17.6,-67,21/10/1997 12:56,0.120165,0.0949401
26.982,-110.97,24/10/1997 19:19,0.545442,0.510662
34.16,-119.952,25/10/1997 11:40,0.438605,0.548288
34.344,-119.86,25/10/1997 17:12,0.226874,0.335696
34.39,-119.84,25/10/1997 17:51,0.260091,0.248518
34.39,-119.84,25/10/1997 18:44,0.260091,0.248518
34.3,-119.887,25/10/1997 19:31,0.384439,0.607278
34.3,-119.887,25/10/1997 20:09,0.384439,0.607278
34.261,-119.901,25/10/1997 21:06,0.488002,0.627519
34.261,-119.901,25/10/1997 21:32,0.488002,0.627519
34.2035,-119.928,25/10/1997 23:07,0.442862,0.584653
